,query,value
0,subtle art of not giving a f,6950
1,the subtle art of not giving a f,6350
2,sword art online ordinal scale,5950
3,sword art online hollow realization,3500
4,art hub for kids,3050
5,art basel 2018,2350
6,art classes near me,2250
7,sword art online alicization,2100
8,art museums near me,1950
9,art naturals,1900
10,art gallery near me,1300
11,the art of self defense,1200
12,diamond art club,1100
13,art store near me,1100
14,art prize 2017,1100
15,art prize 2016,1000
16,art van closing,900
17,art supply store near me,900
18,art classes for kids near me,850
19,art supplies near me,800
20,art galleries near me,750
21,the art of the deal,650
22,art of the deal,650
23,redd art guide,600
24,jim carrey art,600
