,Title,Topic Type
0,The Subtle Art of Not Giving a F*ck,Book by Mark Manson
1,Civil procedure in Brazil,Topic
2,Sigma Corporation,Manufacturing company
3,Doodle,Topic
4,Pixel,Unit of digital image length
5,Pixel art,Topic
6,Criminal code,Topic
7,Fan art,Visual art genre
8,Fan,Person
9,PicsArt Photo Studio,Topic
10,Civil code,Topic
11,Line art,Visual art genre
12,Style,Visual arts
13,Sketch,Drawing
14,Pencil,Topic
15,Canvas,Topic
16,Wall,Topic
17,Digital art,Visual art form
18,Watercolor painting,Topic
