,Title,Topic Type
0,Art,Topic
1,Clip art,Topic
2,Art museum,Building use
3,Museum,Topic
4,Sword Art Online,Novel series
5,Wall,Topic
6,Nail,Topic
7,Pixel,Unit of digital image length
8,Nail art,Topic
9,Pixel art,Topic
10,Painting,Visual art form
11,Fan art,Visual art genre
12,Artist,Topic
13,Art Deco,Architectural style
14,Fan,Person
15,Work of art,Topic
16,Pop art,Art movement
17,Craft,Topic
18,Canvas,Topic
19,Doodle,Topic
20,Criminal code,Topic
21,Line art,Visual art genre
22,Civil code,Topic
23,Pencil,Topic
24,Style,Visual arts
