,date,variable,value
0,2020-05-19,Beau,52
1,2020-05-20,Beau,30
2,2020-05-21,Beau,35
3,2020-05-22,Beau,40
4,2020-05-23,Beau,33
5,2020-05-24,Beau,31
6,2020-05-25,Beau,41
7,2020-05-26,Beau,30
8,2020-05-27,Beau,30
9,2020-05-28,Beau,43
10,2020-05-29,Beau,30
11,2020-05-30,Beau,34
12,2020-05-31,Beau,32
13,2020-06-01,Beau,47
14,2020-06-02,Beau,29
15,2020-06-03,Beau,32
16,2020-06-04,Beau,28
17,2020-06-05,Beau,35
18,2020-06-06,Beau,29
19,2020-06-07,Beau,24
20,2020-06-08,Beau,31
21,2020-06-09,Beau,55
22,2020-06-10,Beau,33
23,2020-06-11,Beau,32
24,2020-06-12,Beau,32
25,2020-06-13,Beau,48
26,2020-06-14,Beau,44
27,2020-06-15,Beau,33
28,2020-06-16,Beau,39
29,2020-06-17,Beau,30
30,2020-06-18,Beau,42
31,2020-06-19,Beau,53
32,2020-06-20,Beau,42
33,2020-06-21,Beau,23
34,2020-06-22,Beau,26
35,2020-06-23,Beau,35
36,2020-06-24,Beau,32
37,2020-06-25,Beau,37
38,2020-06-26,Beau,31
39,2020-06-27,Beau,40
40,2020-06-28,Beau,42
41,2020-06-29,Beau,34
42,2020-06-30,Beau,44
43,2020-07-01,Beau,40
44,2020-07-02,Beau,41
45,2020-07-03,Beau,30
46,2020-07-04,Beau,45
47,2020-07-05,Beau,36
48,2020-07-06,Beau,52
49,2020-07-07,Beau,47
50,2020-07-08,Beau,60
51,2020-07-09,Beau,32
52,2020-07-10,Beau,51
53,2020-07-11,Beau,49
54,2020-07-12,Beau,44
55,2020-07-13,Beau,41
56,2020-07-14,Beau,26
57,2020-07-15,Beau,45
58,2020-07-16,Beau,37
59,2020-07-17,Beau,29
60,2020-07-18,Beau,26
61,2020-07-19,Beau,65
62,2020-07-20,Beau,45
63,2020-07-21,Beau,45
64,2020-07-22,Beau,37
65,2020-07-23,Beau,44
66,2020-07-24,Beau,36
67,2020-07-25,Beau,45
68,2020-07-26,Beau,48
69,2020-07-27,Beau,39
70,2020-07-28,Beau,33
71,2020-07-29,Beau,55
72,2020-07-30,Beau,29
73,2020-07-31,Beau,37
74,2020-08-01,Beau,41
75,2020-08-02,Beau,37
76,2020-08-03,Beau,40
77,2020-08-04,Beau,39
78,2020-08-05,Beau,30
79,2020-08-06,Beau,52
80,2020-08-07,Beau,25
81,2020-08-08,Beau,34
82,2020-08-09,Beau,43
83,2020-08-10,Beau,42
84,2020-08-11,Beau,84
85,2020-08-12,Beau,100
86,2020-08-13,Beau,69
87,2020-08-14,Beau,55
88,2020-08-15,Beau,34
89,2020-08-16,Beau,37
90,2020-08-17,Beau,40
