geoName,Value
Albuquerque,40
Atlanta,32
Aurora,34
Austin,39
Baltimore,40
Boardman,100
Boston,35
Charlotte,29
Chicago,41
Cincinnati,41
Cleveland,41
Colorado Springs,39
Columbus,36
Dallas,34
Denver,45
Detroit,37
Fort Worth,37
Hialeah,29
Honolulu,40
Houston,31
Hyattsville,34
Indianapolis,35
Irvine,40
Jacksonville,31
Kansas City,37
Knoxville,33
Lake Forest Park,34
Las Vegas,34
Leesburg,62
Long Beach,45
Los Angeles,41
Louisville,35
Madison,39
Memphis,30
Miami,40
Milwaukee,37
Minneapolis,47
Nashville,33
New Orleans,40
New York,47
Newark,25
Oakland,47
Oklahoma City,33
Omaha,32
Orlando,32
Philadelphia,41
Phoenix,34
Pittsburgh,36
Plano,28
Portland,50
Raleigh,33
Richmond,42
Sacramento,34
Saint Paul,44
San Antonio,33
San Diego,38
San Francisco,43
San Jose,37
Scottsdale,42
Seattle,48
St. Louis,35
Tallahassee,36
Tampa,34
Tucson,40
Virginia Beach,32
Washington,39
Yonkers,38
