geoName,Value
Alabama,65
Alaska,83
Arizona,79
Arkansas,73
California,85
Colorado,88
Connecticut,81
Delaware,71
District of Columbia,82
Florida,75
Georgia,68
Hawaii,87
Idaho,84
Illinois,85
Indiana,78
Iowa,73
Kansas,77
Kentucky,73
Louisiana,72
Maine,89
Maryland,76
Massachusetts,79
Michigan,98
Minnesota,84
Mississippi,63
Missouri,77
Montana,87
Nebraska,74
Nevada,71
New Hampshire,77
New Jersey,73
New Mexico,89
New York,89
North Carolina,72
North Dakota,71
Ohio,78
Oklahoma,72
Oregon,100
Pennsylvania,74
Rhode Island,82
South Carolina,69
South Dakota,72
Tennessee,67
Texas,71
Utah,91
Vermont,97
Virginia,78
Washington,88
West Virginia,65
Wisconsin,81
Wyoming,84
