,query,value
0,kevin abstract empty,300600
1,brockhampton,253500
2,kevin abstract peach,223250
3,22,175650
4,american boyfriend kevin abstract,137750
5,baby boy,106550
6,kevin abstract runner,102200
7,kevin abstract baby boy,93150
8,i do this abstract lyrics,84050
9,abstract neverland lyrics,60800
10,abstract fortnite,57700
11,kevin abstract arizona baby,55650
12,degas park kevin abstract,48950
13,miserable america kevin abstract,45300
14,abstract sweater,44650
15,echo kevin abstract,43200
16,miserable america,40000
17,kevin abstract georgia,39850
18,empty kevin abstract lyrics,34950
19,big wheels kevin abstract,30150
20,dominic fike,28350
21,abstract 22 lyrics,21300
22,mississippi kevin abstract,18900
23,empty,4750
24,i do this,3350
