,date,variable,value
0,2020-04-11,Trot,49
1,2020-04-12,Trot,16
2,2020-04-13,Trot,39
3,2020-04-14,Trot,30
4,2020-04-15,Trot,23
5,2020-04-16,Trot,30
6,2020-04-17,Trot,22
7,2020-04-18,Trot,23
8,2020-04-19,Trot,41
9,2020-04-20,Trot,99
10,2020-04-21,Trot,66
11,2020-04-22,Trot,30
12,2020-04-23,Trot,14
13,2020-04-24,Trot,22
14,2020-04-25,Trot,32
15,2020-04-26,Trot,64
16,2020-04-27,Trot,28
17,2020-04-28,Trot,42
18,2020-04-29,Trot,28
19,2020-04-30,Trot,13
20,2020-05-01,Trot,50
21,2020-05-02,Trot,39
22,2020-05-03,Trot,47
23,2020-05-04,Trot,35
24,2020-05-05,Trot,33
25,2020-05-06,Trot,50
26,2020-05-07,Trot,88
27,2020-05-08,Trot,31
28,2020-05-09,Trot,64
29,2020-05-10,Trot,60
30,2020-05-11,Trot,14
31,2020-05-12,Trot,43
32,2020-05-13,Trot,56
33,2020-05-14,Trot,57
34,2020-05-15,Trot,44
35,2020-05-16,Trot,32
36,2020-05-17,Trot,88
37,2020-05-18,Trot,36
38,2020-05-19,Trot,51
39,2020-05-20,Trot,53
40,2020-05-21,Trot,51
41,2020-05-22,Trot,43
42,2020-05-23,Trot,30
43,2020-05-24,Trot,24
44,2020-05-25,Trot,49
45,2020-05-26,Trot,30
46,2020-05-27,Trot,60
47,2020-05-28,Trot,45
48,2020-05-29,Trot,16
49,2020-05-30,Trot,34
50,2020-05-31,Trot,25
51,2020-06-01,Trot,51
52,2020-06-02,Trot,15
53,2020-06-03,Trot,32
54,2020-06-04,Trot,80
55,2020-06-05,Trot,28
56,2020-06-06,Trot,53
57,2020-06-07,Trot,23
58,2020-06-08,Trot,27
59,2020-06-09,Trot,49
60,2020-06-10,Trot,41
61,2020-06-11,Trot,34
62,2020-06-12,Trot,100
63,2020-06-13,Trot,41
64,2020-06-14,Trot,33
65,2020-06-15,Trot,36
66,2020-06-16,Trot,70
67,2020-06-17,Trot,42
68,2020-06-18,Trot,35
69,2020-06-19,Trot,29
70,2020-06-20,Trot,33
71,2020-06-21,Trot,40
72,2020-06-22,Trot,44
73,2020-06-23,Trot,15
74,2020-06-24,Trot,38
75,2020-06-25,Trot,38
76,2020-06-26,Trot,44
77,2020-06-27,Trot,38
78,2020-06-28,Trot,67
79,2020-06-29,Trot,21
80,2020-06-30,Trot,51
81,2020-07-01,Trot,36
82,2020-07-02,Trot,22
83,2020-07-03,Trot,43
84,2020-07-04,Trot,40
85,2020-07-05,Trot,16
86,2020-07-06,Trot,88
87,2020-07-07,Trot,66
88,2020-07-08,Trot,67
89,2020-04-11,Prairie,51
90,2020-04-12,Prairie,69
91,2020-04-13,Prairie,59
92,2020-04-14,Prairie,57
93,2020-04-15,Prairie,55
94,2020-04-16,Prairie,48
95,2020-04-17,Prairie,47
96,2020-04-18,Prairie,74
97,2020-04-19,Prairie,71
98,2020-04-20,Prairie,55
99,2020-04-21,Prairie,51
100,2020-04-22,Prairie,37
101,2020-04-23,Prairie,58
102,2020-04-24,Prairie,48
103,2020-04-25,Prairie,64
104,2020-04-26,Prairie,67
105,2020-04-27,Prairie,60
106,2020-04-28,Prairie,55
107,2020-04-29,Prairie,51
108,2020-04-30,Prairie,74
109,2020-05-01,Prairie,58
110,2020-05-02,Prairie,56
111,2020-05-03,Prairie,82
112,2020-05-04,Prairie,37
113,2020-05-05,Prairie,62
114,2020-05-06,Prairie,47
115,2020-05-07,Prairie,46
116,2020-05-08,Prairie,45
117,2020-05-09,Prairie,52
118,2020-05-10,Prairie,52
119,2020-05-11,Prairie,48
120,2020-05-12,Prairie,45
121,2020-05-13,Prairie,41
122,2020-05-14,Prairie,69
123,2020-05-15,Prairie,47
124,2020-05-16,Prairie,48
125,2020-05-17,Prairie,46
126,2020-05-18,Prairie,64
127,2020-05-19,Prairie,56
128,2020-05-20,Prairie,42
129,2020-05-21,Prairie,39
130,2020-05-22,Prairie,63
131,2020-05-23,Prairie,62
132,2020-05-24,Prairie,58
133,2020-05-25,Prairie,48
134,2020-05-26,Prairie,52
135,2020-05-27,Prairie,45
136,2020-05-28,Prairie,53
137,2020-05-29,Prairie,52
138,2020-05-30,Prairie,59
139,2020-05-31,Prairie,44
140,2020-06-01,Prairie,64
141,2020-06-02,Prairie,44
142,2020-06-03,Prairie,45
143,2020-06-04,Prairie,56
144,2020-06-05,Prairie,64
145,2020-06-06,Prairie,60
146,2020-06-07,Prairie,84
147,2020-06-08,Prairie,83
148,2020-06-09,Prairie,61
149,2020-06-10,Prairie,82
150,2020-06-11,Prairie,54
151,2020-06-12,Prairie,45
152,2020-06-13,Prairie,71
153,2020-06-14,Prairie,60
154,2020-06-15,Prairie,62
155,2020-06-16,Prairie,70
156,2020-06-17,Prairie,44
157,2020-06-18,Prairie,81
158,2020-06-19,Prairie,56
159,2020-06-20,Prairie,100
160,2020-06-21,Prairie,62
161,2020-06-22,Prairie,75
162,2020-06-23,Prairie,53
163,2020-06-24,Prairie,51
164,2020-06-25,Prairie,54
165,2020-06-26,Prairie,55
166,2020-06-27,Prairie,56
167,2020-06-28,Prairie,61
168,2020-06-29,Prairie,65
169,2020-06-30,Prairie,57
170,2020-07-01,Prairie,49
171,2020-07-02,Prairie,57
172,2020-07-03,Prairie,74
173,2020-07-04,Prairie,69
174,2020-07-05,Prairie,46
175,2020-07-06,Prairie,74
176,2020-07-07,Prairie,76
177,2020-07-08,Prairie,53
178,2020-04-11,Cat,80
179,2020-04-12,Cat,82
180,2020-04-13,Cat,77
181,2020-04-14,Cat,67
182,2020-04-15,Cat,69
183,2020-04-16,Cat,66
184,2020-04-17,Cat,68
185,2020-04-18,Cat,77
186,2020-04-19,Cat,78
187,2020-04-20,Cat,66
188,2020-04-21,Cat,69
189,2020-04-22,Cat,69
190,2020-04-23,Cat,73
191,2020-04-24,Cat,73
192,2020-04-25,Cat,77
193,2020-04-26,Cat,81
194,2020-04-27,Cat,69
195,2020-04-28,Cat,69
196,2020-04-29,Cat,72
197,2020-04-30,Cat,73
198,2020-05-01,Cat,76
199,2020-05-02,Cat,82
200,2020-05-03,Cat,89
201,2020-05-04,Cat,74
202,2020-05-05,Cat,74
203,2020-05-06,Cat,73
204,2020-05-07,Cat,70
205,2020-05-08,Cat,76
206,2020-05-09,Cat,80
207,2020-05-10,Cat,82
208,2020-05-11,Cat,74
209,2020-05-12,Cat,77
210,2020-05-13,Cat,78
211,2020-05-14,Cat,75
212,2020-05-15,Cat,78
213,2020-05-16,Cat,83
214,2020-05-17,Cat,83
215,2020-05-18,Cat,74
216,2020-05-19,Cat,72
217,2020-05-20,Cat,74
218,2020-05-21,Cat,69
219,2020-05-22,Cat,76
220,2020-05-23,Cat,99
221,2020-05-24,Cat,94
222,2020-05-25,Cat,87
223,2020-05-26,Cat,100
224,2020-05-27,Cat,87
225,2020-05-28,Cat,74
226,2020-05-29,Cat,74
227,2020-05-30,Cat,73
228,2020-05-31,Cat,73
229,2020-06-01,Cat,67
230,2020-06-02,Cat,72
231,2020-06-03,Cat,72
232,2020-06-04,Cat,74
233,2020-06-05,Cat,77
234,2020-06-06,Cat,82
235,2020-06-07,Cat,80
236,2020-06-08,Cat,69
237,2020-06-09,Cat,73
238,2020-06-10,Cat,87
239,2020-06-11,Cat,73
240,2020-06-12,Cat,77
241,2020-06-13,Cat,80
242,2020-06-14,Cat,80
243,2020-06-15,Cat,72
244,2020-06-16,Cat,79
245,2020-06-17,Cat,80
246,2020-06-18,Cat,73
247,2020-06-19,Cat,84
248,2020-06-20,Cat,81
249,2020-06-21,Cat,78
250,2020-06-22,Cat,72
251,2020-06-23,Cat,72
252,2020-06-24,Cat,67
253,2020-06-25,Cat,66
254,2020-06-26,Cat,69
255,2020-06-27,Cat,80
256,2020-06-28,Cat,77
257,2020-06-29,Cat,75
258,2020-06-30,Cat,69
259,2020-07-01,Cat,67
260,2020-07-02,Cat,72
261,2020-07-03,Cat,78
262,2020-07-04,Cat,81
263,2020-07-05,Cat,76
264,2020-07-06,Cat,70
265,2020-07-07,Cat,70
266,2020-07-08,Cat,70
267,2020-04-11,Breed,72
268,2020-04-12,Breed,89
269,2020-04-13,Breed,86
270,2020-04-14,Breed,62
271,2020-04-15,Breed,60
272,2020-04-16,Breed,81
273,2020-04-17,Breed,64
274,2020-04-18,Breed,90
275,2020-04-19,Breed,82
276,2020-04-20,Breed,63
277,2020-04-21,Breed,57
278,2020-04-22,Breed,64
279,2020-04-23,Breed,67
280,2020-04-24,Breed,67
281,2020-04-25,Breed,79
282,2020-04-26,Breed,89
283,2020-04-27,Breed,68
284,2020-04-28,Breed,76
285,2020-04-29,Breed,77
286,2020-04-30,Breed,68
287,2020-05-01,Breed,73
288,2020-05-02,Breed,85
289,2020-05-03,Breed,93
290,2020-05-04,Breed,68
291,2020-05-05,Breed,74
292,2020-05-06,Breed,67
293,2020-05-07,Breed,63
294,2020-05-08,Breed,83
295,2020-05-09,Breed,75
296,2020-05-10,Breed,99
297,2020-05-11,Breed,63
298,2020-05-12,Breed,71
299,2020-05-13,Breed,56
300,2020-05-14,Breed,74
301,2020-05-15,Breed,85
302,2020-05-16,Breed,93
303,2020-05-17,Breed,97
304,2020-05-18,Breed,67
305,2020-05-19,Breed,72
306,2020-05-20,Breed,73
307,2020-05-21,Breed,71
308,2020-05-22,Breed,65
309,2020-05-23,Breed,89
310,2020-05-24,Breed,98
311,2020-05-25,Breed,71
312,2020-05-26,Breed,74
313,2020-05-27,Breed,65
314,2020-05-28,Breed,64
315,2020-05-29,Breed,62
316,2020-05-30,Breed,79
317,2020-05-31,Breed,79
318,2020-06-01,Breed,64
319,2020-06-02,Breed,58
320,2020-06-03,Breed,65
321,2020-06-04,Breed,68
322,2020-06-05,Breed,70
323,2020-06-06,Breed,82
324,2020-06-07,Breed,98
325,2020-06-08,Breed,72
326,2020-06-09,Breed,71
327,2020-06-10,Breed,73
328,2020-06-11,Breed,62
329,2020-06-12,Breed,73
330,2020-06-13,Breed,81
331,2020-06-14,Breed,94
332,2020-06-15,Breed,63
333,2020-06-16,Breed,90
334,2020-06-17,Breed,66
335,2020-06-18,Breed,60
336,2020-06-19,Breed,70
337,2020-06-20,Breed,69
338,2020-06-21,Breed,83
339,2020-06-22,Breed,67
340,2020-06-23,Breed,63
341,2020-06-24,Breed,56
342,2020-06-25,Breed,60
343,2020-06-26,Breed,80
344,2020-06-27,Breed,80
345,2020-06-28,Breed,100
346,2020-06-29,Breed,62
347,2020-06-30,Breed,60
348,2020-07-01,Breed,65
349,2020-07-02,Breed,60
350,2020-07-03,Breed,75
351,2020-07-04,Breed,73
352,2020-07-05,Breed,78
353,2020-07-06,Breed,59
354,2020-07-07,Breed,61
355,2020-07-08,Breed,62
356,2020-04-11,Heel,72
357,2020-04-12,Heel,75
358,2020-04-13,Heel,74
359,2020-04-14,Heel,60
360,2020-04-15,Heel,58
361,2020-04-16,Heel,65
362,2020-04-17,Heel,66
363,2020-04-18,Heel,75
364,2020-04-19,Heel,84
365,2020-04-20,Heel,64
366,2020-04-21,Heel,63
367,2020-04-22,Heel,62
368,2020-04-23,Heel,71
369,2020-04-24,Heel,62
370,2020-04-25,Heel,65
371,2020-04-26,Heel,74
372,2020-04-27,Heel,71
373,2020-04-28,Heel,55
374,2020-04-29,Heel,68
375,2020-04-30,Heel,60
376,2020-05-01,Heel,62
